f_min,f_avg,cv_min,cv_avg
-126.08963027279147,-100.23989078402168,0.0,0.04992931276297335
-139.40260628891582,-95.56012449928038,0.0,1.3442205
-139.40260628891582,-99.19351847559928,0.0,0.58914108
-139.40260628891582,-101.98116679308144,0.0,0.34836516
-139.40260628891582,-101.70432977639456,0.0,0.14078591999999998
-139.40260628891582,-101.30759399510357,0.0,0.0
-139.40260628891582,-103.96530210783553,0.0,0.0
-147.04475429789764,-106.28123018826587,0.0,0.0
-147.04475429789764,-108.17635775248185,0.0,0.0
-147.04475429789764,-109.67425234436749,0.0,0.0
-147.04475429789764,-111.12535048012235,0.0,0.0
-147.04475429789764,-112.51274955006924,0.0,0.0
-147.04475429789764,-113.65898396001386,0.0,0.0
-147.04475429789764,-114.82178419419503,0.0,0.0
-147.04475429789764,-115.95332269255859,0.0,0.0
-147.04475429789764,-117.03062921503256,0.0,0.0
-147.04475429789764,-118.09678706630014,0.0,0.0
-147.04475429789764,-119.11062408475102,0.0,0.0
-147.04475429789764,-120.07785185391829,0.0,0.0
-147.04475429789764,-121.03411487836456,0.0,0.0
