f_min,f_avg,cv_min,cv_avg
-123.4,-95.8847713884993,0.0,0.04992931276297335
-126.72699999999999,-91.79914939999999,0.0,1.33356014
-129.527,-94.7920412,0.0,0.59000104
-129.527,-97.52069099999999,0.0,0.33962603999999996
-132.001,-97.586624,0.0,0.15708429999999998
-132.001,-96.8011724,0.0,0.0
-132.001,-99.6558348,0.0,0.0
-132.001,-101.8048872,0.0,0.0
-132.001,-103.6884968,0.0,0.0
-132.001,-105.28543140000001,0.0,0.0
-132.001,-106.7397894,0.0,0.0
-132.63899999999998,-107.963029,0.0,0.0
-132.63899999999998,-109.29716,0.0,0.0
-133.76600000000002,-110.57487579999999,0.0,0.0
-138.791,-111.803748,0.0,0.0
-138.791,-112.868997,0.0,0.0
-145.36200000000002,-113.95203959999998,0.0,0.0
-145.36200000000002,-115.00030380000001,0.0,0.0
-145.36200000000002,-116.0455758,0.0,0.0
-145.36200000000002,-116.9687992,0.0,0.0
